Country,Happiness Rank,Happiness Score,GDP per Capita,Social support,Healthy life expectancy,Freedom,Generosity,Perceptions of corruption,Year
Switzerland,1,7.587,1.397,1.35,0.941,0.666,0.297,0.42,2015
Iceland,2,7.561,1.302,1.402,0.948,0.629,0.436,0.141,2015
Denmark,3,7.527,1.325,1.361,0.875,0.649,0.341,0.484,2015
Norway,4,7.522,1.459,1.331,0.885,0.67,0.347,0.365,2015
Canada,5,7.427,1.326,1.323,0.906,0.633,0.458,0.33,2015
Finland,6,7.406,1.29,1.318,0.889,0.642,0.234,0.414,2015
Netherlands,7,7.378,1.329,1.28,0.893,0.616,0.476,0.318,2015
Sweden,8,7.364,1.332,1.289,0.911,0.66,0.363,0.438,2015
New Zealand,9,7.286,1.25,1.32,0.908,0.639,0.475,0.429,2015
Australia,10,7.284,1.334,1.309,0.932,0.651,0.436,0.356,2015
Israel,11,7.278,1.229,1.224,0.914,0.413,0.332,0.078,2015
Costa Rica,12,7.226,0.956,1.238,0.86,0.634,0.255,0.106,2015
Austria,13,7.2,1.337,1.297,0.89,0.624,0.331,0.187,2015
Mexico,14,7.187,1.021,0.915,0.814,0.482,0.141,0.213,2015
United States,15,7.119,1.395,1.247,0.862,0.546,0.401,0.159,2015
Brazil,16,6.983,0.981,1.233,0.697,0.49,0.146,0.175,2015
Luxembourg,17,6.946,1.564,1.22,0.919,0.616,0.28,0.378,2015
Ireland,18,6.94,1.336,1.369,0.895,0.618,0.459,0.287,2015
Belgium,19,6.937,1.308,1.286,0.897,0.584,0.222,0.225,2015
United Arab Emirates,20,6.901,1.427,1.126,0.809,0.642,0.264,0.386,2015
United Kingdom,21,6.867,1.266,1.285,0.909,0.596,0.519,0.321,2015
Oman,22,6.853,1.36,1.082,0.763,0.633,0.215,0.325,2015
Venezuela,23,6.81,1.044,1.256,0.721,0.429,0.058,0.111,2015
Singapore,24,6.798,1.522,1.02,1.025,0.543,0.311,0.492,2015
Panama,25,6.786,1.064,1.198,0.797,0.542,0.244,0.093,2015
Germany,26,6.75,1.328,1.299,0.892,0.615,0.282,0.218,2015
Chile,27,6.67,1.107,1.124,0.859,0.441,0.334,0.129,2015
Qatar,28,6.611,1.69,1.079,0.797,0.64,0.326,0.522,2015
France,29,6.575,1.278,1.26,0.946,0.55,0.123,0.206,2015
Argentina,30,6.574,1.054,1.248,0.787,0.45,0.115,0.085,2015
Czech Republic,31,6.505,1.179,1.206,0.845,0.464,0.107,0.027,2015
Uruguay,32,6.485,1.062,1.209,0.812,0.604,0.232,0.246,2015
Colombia,33,6.477,0.919,1.24,0.691,0.535,0.184,0.051,2015
Thailand,34,6.455,0.967,1.265,0.738,0.557,0.576,0.032,2015
Saudi Arabia,35,6.411,1.395,1.084,0.72,0.31,0.137,0.325,2015
Spain,36,6.329,1.23,1.314,0.956,0.46,0.182,0.064,2015
Malta,37,6.302,1.207,1.302,0.887,0.604,0.518,0.136,2015
Taiwan,38,6.298,1.291,1.076,0.875,0.397,0.254,0.081,2015
Kuwait,39,6.295,1.554,1.166,0.725,0.555,0.162,0.256,2015
Suriname,40,6.269,0.995,0.972,0.608,0.597,0.17,0.136,2015
Trinidad and Tobago,41,6.168,1.212,1.184,0.615,0.559,0.318,0.011,2015
El Salvador,42,6.13,0.765,1.025,0.677,0.404,0.107,0.118,2015
Guatemala,43,6.123,0.746,1.044,0.644,0.577,0.275,0.095,2015
Uzbekistan,44,6.003,0.632,1.34,0.598,0.658,0.228,0.308,2015
Slovakia,45,5.995,1.169,1.27,0.789,0.318,0.169,0.034,2015
Japan,46,5.987,1.271,1.257,0.991,0.496,0.107,0.181,2015
South Korea,47,5.984,1.245,0.958,0.965,0.332,0.186,0.079,2015
Ecuador,48,5.975,0.864,0.999,0.791,0.486,0.115,0.181,2015
Bahrain,49,5.96,1.324,1.216,0.747,0.455,0.174,0.306,2015
Italy,50,5.948,1.251,1.198,0.954,0.262,0.228,0.029,2015
Bolivia,51,5.89,0.681,0.978,0.539,0.574,0.205,0.088,2015
Moldova,52,5.889,0.594,1.015,0.618,0.328,0.21,0.016,2015
Paraguay,53,5.878,0.76,1.305,0.661,0.539,0.342,0.082,2015
Kazakhstan,54,5.855,1.123,1.122,0.644,0.516,0.118,0.085,2015
Slovenia,55,5.848,1.185,1.274,0.873,0.609,0.253,0.038,2015
Lithuania,56,5.833,1.147,1.257,0.731,0.213,0.026,0.01,2015
Nicaragua,57,5.828,0.593,1.142,0.743,0.555,0.278,0.193,2015
Peru,58,5.824,0.9,0.975,0.73,0.415,0.15,0.06,2015
Belarus,59,5.813,1.032,1.233,0.736,0.379,0.11,0.191,2015
Poland,60,5.791,1.126,1.279,0.779,0.531,0.168,0.042,2015
Malaysia,61,5.77,1.125,1.07,0.724,0.53,0.331,0.105,2015
Croatia,62,5.759,1.083,0.796,0.788,0.259,0.054,0.024,2015
Libya,63,5.754,1.131,1.119,0.704,0.417,0.183,0.11,2015
Russia,64,5.716,1.138,1.236,0.669,0.367,0.002,0.03,2015
Jamaica,65,5.709,0.81,1.151,0.687,0.504,0.212,0.023,2015
North Cyprus,66,5.695,1.208,1.07,0.924,0.49,0.262,0.143,2015
Cyprus,67,5.689,1.208,0.893,0.924,0.407,0.306,0.061,2015
